Objection Status,First Contact Date,Nationality,Main Contact Platform,Lead Quality,Service,Ad Source,Objection Type,Quote_English,Nationality_Category
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Documentation,"So just scan your fingerprints, no need to pay taxes, right?",Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,"Yes, brother, may I ask a little whether Visan and Visal are going out to play or working?",Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,This is not a place to work or stay.,Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,DM,Documentation,I am a trader but do not have a bank account.,Khmer
Unsolved,2026-02-03,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,DM,Employme - Out Of Scope,My brother wants to work in Korea.,Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTE01 | #K01-K,Employme - Out Of Scope,How does the visa work? How do I apply for a job in Korea?,Khmer
Unsolved,2026-02-06,KHM,Telegram - DM,Lost,VISA-HK | TOU | DOU-V90D-14D | S | KHM,DM,Others,"I want to go in and out many times, so he only has a normal request.",Khmer
Unsolved,2026-02-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I think the company selects people to work. I apologize.,Khmer
Unsolved,2026-02-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I want to ask about the information to work there. How to work in Australia?,Khmer
Unsolved,2026-02-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,#V0020*E1 - #TAVK03,Employme - Out Of Scope,"And what if under the conditions I want to go to work, how do we think?",Khmer
Unsolved,2026-02-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,DM,Others,"But your side has a tour that doesn't require a deposit and can go with me, right?",Khmer
Unsolved,2026-02-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Are you going to hang out or go to work?,Khmer
Unsolved,2026-02-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Others,I need a lawyer to prepare documents to live abroad,Khmer
Unsolved,2026-02-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Others,"How much does it cost to live in the United States, sister?",Khmer
Unsolved,2026-02-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,Not knowing English can still allow you to work.,Khmer
Unsolved,2026-02-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,JPNTM02 | #J01-K,Employme - Out Of Scope,I want you to help me with the document issue to cross the border to work in Japan.,Khmer
Unsolved,2026-01-20,KHM,Facebook - Explorer by SL,Unqualified,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,DM,Trust,"I see that you posted that you have 330 dollars to go play in Australia, but I don't really believe it.",Khmer
Unsolved,2026-02-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Others,I just think of walking around the tour,Khmer
Unsolved,2026-02-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Risk / Guarantee Concerns,"Sister, are you sure you can go there?",Khmer
Unsolved,2026-02-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,Are we going to do the document to go out? Are we also going to work?,Khmer
Unsolved,2026-02-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTH02 | #A01-,Employme - Out Of Scope,I want to go to Australia,Khmer
Unsolved,2026-02-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"Excuse me, I have a question to ask you. Can I go to work?",Khmer
Unsolved,2026-02-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | STV | SIN-V90D-DIS | E | KHM,KORTE02 | #K01-K,Employme - Out Of Scope,Do you want a visa to work in Korea or to go on vacation?,Khmer
Unsolved,2026-02-19,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | STV | SIN-V90D-DIS | E | KHM,#V0020*E1 - #TAVK03,Employme - Out Of Scope,"Has the visa been requested yet, can it be done, brother?",Khmer
Unsolved,2025-11-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | STV | SIN-V90D-DIS | E | KHM,#V0014*C1 - #TAVK04,Employme - Out Of Scope,Does the Korean company need employees to work in Korea?,Khmer
Unsolved,2026-02-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Risk / Guarantee Concerns,"I want to, but I'm afraid to fall",Khmer
Unsolved,2026-02-13,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Risk / Guarantee Concerns,I am afraid to put it in the second time. I am afraid to drop it again.,Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,CANTM02 | #C01-K,Documentation,"If you stop working, then you don't have a job now, can you apply?",Khmer
Unsolved,2026-02-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Can we request to work there, brother?",Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"So, can I go to work?",Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Do you have a job?,Khmer
Unsolved,2026-02-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | STV | SIN-V90D-DIS | E | KHM,KORTM03|K01-K,Trust,"I don't believe it, Korea is not easy.",Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Want to go to work and how much to spend and have you worked?,Khmer
Unsolved,2026-02-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"And if you want to stay there, how is the service?",Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,I want to work there,Khmer
Unsolved,2026-02-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"So if we want to do something, how do we think?",Khmer
Unsolved,2026-02-06,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"I want to ask about the cost of getting a passport to work in another country, how much is the service fee?",Khmer
Unsolved,2026-02-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Risk / Guarantee Concerns,"Can you get the money? If you can get the money, you can deposit it. If you take the money before you can deposit it.",Khmer
Unsolved,2026-02-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2026-02-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Excuse me, I have a question to ask you. Can I go to work?",Khmer
Unsolved,2026-02-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTE02 | #K01-K,Employme - Out Of Scope,Do you want a work visa for Korea or is it for tourism?,Khmer
Unsolved,2026-02-01,KHM,Facebook - Explorer by SL,Lost,VISA - CA | TOU | DIS-DIS-180D | S | KHM,dm,Price,You and your family have not decided yet because it costs a lot of money.,Khmer
Unsolved,2026-01-21,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,dm,Risk / Guarantee Concerns,"Do not talk to me, I do not trust.",Khmer
Unsolved,2026-03-02,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,dm,Employme - Out Of Scope,I want to work in Australia.,Khmer
Unsolved,2026-02-01,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,dm,Employme - Out Of Scope,Do you want to go to work or go for a walk?,Khmer
Unsolved,2026-02-28,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,"Actually, I want to ask about the desire to work in Australia.",Khmer
Unsolved,2026-02-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Employme - Out Of Scope,"I want detailed information because of the visa to Australia, whether it is for tourism or for work, so my brother only receives a tourist visa.",Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Do you want to work in Australia, brother?",Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Are you saying that you only have a visa to go out? What about work?,Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Going to Australia, is there only this visa? What about the work visa?",Khmer
Unsolved,2026-02-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Hello teacher, are you going to Australia for a tourist visa or to work?",Khmer
Unsolved,2026-03-07,KHM,Facebook - Explorer by SL,Lost,VISA-CN | ALL | EXPRESS | NA | KHM & FOR,ad_id.120225091087400078,Processing Time,"No, brother, because I am in a hurry. I think that express will take 7 days during working days. If it is before 13 days, it will be 1 day difference. Maybe it won't be on time, brother.",Khmer
Unsolved,2026-03-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Go to work, brother",Khmer
Unsolved,2026-03-04,KHM,Facebook - Explorer by SL,Lost,VISA-CN | FAM (S2) | SIN-V90D-180D | S | KHM,dm,Documentation,There is only paper left from the village school.,Khmer
Unsolved,2026-03-07,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I want to say that I really want to go out and play.,Khmer
Unsolved,2026-03-07,KHM,Facebook - Explorer by SL,Lost,VISA-HK | TOU | DOU-V90D-14D | S | KHM,ad_id.120225091087400078,Processing Time,"Nothing to wait for next time, I have 10 hours leftover, but it's nighttime, so it's difficult. I regret that if I had known, I would have booked the flight today.",Khmer
Unsolved,2026-03-04,KHM,Facebook - Explorer by SL,Lost,VISA-KR | TOU | SIN-V90D-DIS | E | KHM,KORTM02 | #K01-K,Others,"I want to go, brother, but I want to go as a tourist because I don't know anything about it, going alone is not known, feet, muddy, sinking, how can it be?",Khmer
Unsolved,2026-01-02,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,JPNTE02 | #J01-K,Employme - Out Of Scope,"So if I want to find a job in Japan, is that possible?",Khmer
Unsolved,2026-03-06,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Do you want to go to work?,Khmer
Unsolved,2025-10-20,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,#V0016*E1 - #TAVJ08,Employme - Out Of Scope,How do I want to go to work?,Khmer
Unsolved,2026-03-04,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I want to find a job in Australia.,Khmer
Unsolved,2026-03-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,to go to Australia to work,Khmer
Unsolved,2026-03-05,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"The visa to Australia, we already have a visa, can we cross to work there, brother?",Khmer
Unsolved,2026-03-09,KHM,Facebook - Explorer by SL,Unqualified,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,ad_id.120225091087400078,Comparison / Competitor Claim,"Seeing other companies, they get accepted to do visas, but when the visa is rejected, they only take 100 dollars. What advantages does that side have to get a higher price than others?",Khmer
Unsolved,2026-03-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"So if we want to work, it is possible, teacher",Khmer
Unsolved,2026-03-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-US | TOU | DOU-V90D-DIS | S | KHM,USATH01 | #U01-K,Employme - Out Of Scope,"And if we want to get a work visa to the US, how much does it cost?",Khmer
Unsolved,2026-03-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Do you think it is necessary to send staff to Australia to work? What should be done?,Khmer
Unsolved,2026-03-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"Yes, thank you very much, brother, for the information. I want to go work in Australia, brother.",Khmer
Unsolved,2026-03-08,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | SIN-V90D-30D | S | KHM,DM,Documentation,"Because I want to be 18 and 30 years old without having to spend money, but if you don't do it, then what will happen?",Khmer
Unsolved,2026-03-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,"I want to ask, if we stay there and work there, how is it? Do we have services there or not?",Khmer
Unsolved,2026-03-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"I apologize, I thought Visa was given to work in Australia",Khmer
Unsolved,2026-03-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,"Hello, for making a visa, are we going for work or for tourism?",Khmer
Unsolved,2026-03-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Want to live and work,Khmer
Unsolved,2026-03-08,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2026-03-09,KHM,Facebook - Explorer by SL,Lost,VISA-CN | TOU | SIN-V90D-30D | S | KHM,​DM,Processing Time,So it really can't be done?,Khmer
Unsolved,2026-03-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2026-03-10,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,If we want to go to work,Khmer
Unsolved,2026-03-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,Want to inquire about information that there are two types of visas: one tourist visa and one work visa,Khmer
Unsolved,2025-07-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,I want to work,Khmer
Unsolved,2025-07-31,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,"I took a visa to work abroad for 5 years, is there any?",Khmer
Unsolved,2026-03-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Yes, I think Visa works",Khmer
Unsolved,2026-03-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,​DM,Employme - Out Of Scope,Is it for going out to play or to work?,Khmer
Unsolved,2025-10-21,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,#V0010*E1 - #TAVA01,Employme - Out Of Scope,Do you have a work visa to serve in Australia?,Khmer
Unsolved,2026-03-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Hello brother. I want to ask if Visa works or not because I want to work there.,Khmer
Unsolved,2026-03-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Can go visit or work there, brother",Khmer
Unsolved,2026-03-13,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"So, if we go to work, can we?",Khmer
Unsolved,2026-03-11,KHM,Facebook - Explorer by SL,Lost,VISA - CA | TOU | DIS-DIS-180D | S | KHM,CANTE01 | #C01-K,Risk / Guarantee Concerns,My younger sibling is not skilled. I'm afraid to organize and submit the documents. I'm afraid they will be damaged. I want to say I'm afraid my credit will be damaged because of you.,Khmer
Unsolved,2026-03-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"I see that you have been in Australia for a long time, about 10 years, and will you become a worker or what? Do you want to work like that a little more?",Khmer
Unsolved,2026-03-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"So, can we work with a visa or only a tourist visa?",Khmer
Unsolved,2026-02-09,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Documentation,"Then Australia, I do not yet have a patent card",Khmer
Unsolved,2023-10-29,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Risk / Guarantee Concerns,"So 365 dollars, I already paid. If I don't get the visa, then losing 364 dollars is not okay or will I get it back?",Khmer
Unsolved,2023-10-29,KHM,Facebook - Explorer by SL,Lost,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120218483048450078,Trust,"And Mic must pay in advance. But if paying half is okay, yes, because now there are many scams.",Khmer
Unsolved,2026-03-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTM02 | #A01-K,Employme - Out Of Scope,Can I find a job?,Khmer
Unsolved,2026-03-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,I want to go to work,Khmer
Unsolved,2026-03-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"Yes, I want to go work over there.",Khmer
Unsolved,2025-05-20,KHM,Facebook - Explorer by SL,Qualified,VISA-EU | SVS(C) | DIS-DIS-DIS | S | KHM,DM,Risk / Guarantee Concerns,I am afraid to take the test because I might fail and not get the visa.,Khmer
Unsolved,2026-03-14,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,I want my child to work in the countryside.,Khmer
Unsolved,2026-01-31,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTH02 | #A01-K,Employme - Out Of Scope,"I am asking about work, not about going out to play.",Khmer
Unsolved,2026-02-20,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,CANTM02 | #C01-K,Employme - Out Of Scope,"If you want to go, then go work by yourself.",Khmer
Unsolved,2026-03-15,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,"I want to know some information about living in Australia, such as workers and working in different sectors.",Khmer
Unsolved,2025-09-25,KHM,Facebook - Explorer by SL,Unqualified,VISA-JP | TOU | SIN-V90D-15D | E | KHM,#V0014*C1 - #TAVK03,Employme - Out Of Scope,"Visa to work, right?",Khmer
Unsolved,2026-03-16,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Want to go to work,Khmer
Unsolved,2026-02-12,KHM,Facebook - Explorer Travel Agency,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | FOR,ad_id.120218483048450078,Employme - Out Of Scope,Is it for work holiday visa?,Khmer
Unsolved,2026-03-18,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Is there any work to do at home?,Khmer
Unsolved,2026-03-17,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,ad_id.120225091087400078,Employme - Out Of Scope,"We want to work in Australia through his company, is that possible?",Khmer
Unsolved,2026-01-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Documentation,I do not yet have enough savings,Khmer
Unsolved,2026-01-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Documentation,"The document is not yet available, please wait and see.",Khmer
Unsolved,2026-01-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,DM,Employme - Out Of Scope,Go to work at home,Khmer
Unsolved,2026-01-11,KHM,Facebook - Explorer by SL,Unqualified,VISA-AU | TOU | DIS-DIS-DIS | E | KHM,AUSTC01 | #A01-K,Employme - Out Of Scope,Request to go out and play but can work or not,Khmer
Unsolved,2026-01-12,KHM,Facebook - Explorer by SL,Unqualified,VISA - CA | TOU | DIS-DIS-180D | S | KHM,CANTM03 | #C01-K,Documentation,"Brother, if we want to go out but have no money in the wallet, can we go or not?",Khmer
Unsolved,2026-01-12,KHM,Facebook - Explorer by SL,Unqualified,VISA-CN | TOU | SIN-V90D-30D | S | KHM,CHNTE01 | #C01-K (VC0001E1 - TAVC05),Documentation,I don't want to save money,Khmer
